zone_id,x_coord,y_coord,observed_event_rate,mean_predicted_risk,mean_crime_count,false_positive_rate,false_negative_rate,communication_availability,patrol_latency,socioeconomic_vulnerability,risk_error
0,0.0,0.0,0.2821,0.5104,0.3846,0.0,0.2821,0.6846,0.5177,0.2896,0.2283
1,0.0,0.0909,1.0,0.9994,7.0,0.0,0.8974,0.6487,0.6598,0.4054,-0.0006
2,0.0,0.1818,1.0,0.9999,7.8718,0.0,0.4615,0.7171,0.6464,0.5341,-0.0001
3,0.0,0.2727,1.0,0.9999,7.6923,0.0,0.4872,0.7291,0.6616,0.4638,-0.0001
4,0.0,0.3636,1.0,0.9998,7.5128,0.0,0.5128,0.6886,0.6741,0.7038,-0.0002
5,0.0,0.4545,1.0,0.9997,6.6923,0.0,0.5128,0.6472,0.5346,0.9854,-0.0003
6,0.0,0.5455,1.0,0.9999,7.3077,0.0,0.6154,0.684,0.4816,0.6212,-0.0001
7,0.0,0.6364,1.0,0.9998,7.2308,0.0,0.7949,0.6214,0.7218,0.7726,-0.0002
8,0.0,0.7273,0.2821,0.4462,0.3077,0.0,0.2821,0.6698,0.7486,0.7707,0.1641
9,0.0,0.8182,0.2308,0.1996,0.2308,0.0,0.2308,0.58,0.6183,0.596,-0.0311
10,0.0,0.9091,0.1538,0.2032,0.1538,0.0,0.1538,0.4895,0.7541,0.7549,0.0493
11,0.0,1.0,0.1795,0.2193,0.2051,0.0,0.1795,0.6189,0.6199,0.8544,0.0399
12,0.0909,0.0,0.2564,0.4337,0.3077,0.0,0.2564,0.6768,0.48,0.2622,0.1773
13,0.0909,0.0909,1.0,0.9999,7.3077,0.0,0.6923,0.9487,0.6124,0.6949,-0.0001
14,0.0909,0.1818,1.0,0.9999,8.2051,0.0,0.4103,0.7278,0.5572,0.5264,-0.0001
15,0.0909,0.2727,1.0,0.9999,7.6923,0.0,0.4103,0.5358,0.5689,0.7784,-0.0001
16,0.0909,0.3636,1.0,0.9999,7.9487,0.0,0.3077,0.6763,0.5562,0.6861,-0.0001
17,0.0909,0.4545,1.0,1.0,7.4872,0.0,0.4615,0.7274,0.7258,0.6684,-0.0
18,0.0909,0.5455,1.0,1.0,7.4872,0.0,0.5641,0.8409,0.6944,0.4187,-0.0
19,0.0909,0.6364,1.0,0.9998,7.4872,0.0,0.641,0.6825,0.6454,0.612,-0.0002
20,0.0909,0.7273,0.3077,0.5326,0.3077,0.0,0.3077,0.6455,0.686,0.4744,0.2249
21,0.0909,0.8182,0.1538,0.2587,0.1538,0.0,0.1538,0.7088,0.6964,0.946,0.1049
22,0.0909,0.9091,0.1795,0.23,0.1795,0.0,0.1795,0.8336,0.5838,0.8184,0.0505
23,0.0909,1.0,0.0769,0.1799,0.0769,0.0,0.0769,0.5631,0.5604,0.6692,0.103
24,0.1818,0.0,0.5128,0.5469,0.7436,0.0,0.5128,0.922,0.7435,0.1925,0.0341
25,0.1818,0.0909,1.0,0.9999,7.5897,0.0,0.6923,0.658,0.5663,0.6327,-0.0001
26,0.1818,0.1818,1.0,0.9999,7.4103,0.0,0.4359,0.7164,0.5714,0.7071,-0.0001
27,0.1818,0.2727,1.0,0.9999,6.7436,0.0,0.6923,0.6159,0.6876,0.609,-0.0001
28,0.1818,0.3636,1.0,0.9999,7.4103,0.0,0.5385,0.7335,0.4904,0.4648,-0.0001
29,0.1818,0.4545,1.0,1.0,7.2564,0.0,0.5641,0.6876,0.3759,0.6217,-0.0
30,0.1818,0.5455,0.9744,0.9999,7.2051,0.0,0.4872,0.8589,0.5393,0.4031,0.0256
31,0.1818,0.6364,1.0,1.0,7.4872,0.0,0.3333,0.6692,0.6708,0.5816,-0.0
32,0.1818,0.7273,1.0,0.9997,7.3333,0.0,0.8718,0.5094,0.7023,1.0,-0.0003
33,0.1818,0.8182,0.5641,0.6834,0.8205,0.0,0.5641,0.5632,0.6669,0.702,0.1193
34,0.1818,0.9091,0.1795,0.3081,0.1795,0.0,0.1795,0.4935,0.782,1.0,0.1286
35,0.1818,1.0,0.2308,0.2952,0.2308,0.0,0.2308,0.628,0.7272,0.9637,0.0644
36,0.2727,0.0,0.1282,0.3724,0.1795,0.0,0.1282,0.6841,0.4857,0.375,0.2442
37,0.2727,0.0909,1.0,0.9996,7.1282,0.0,0.8718,0.7509,0.3904,0.5381,-0.0004
38,0.2727,0.1818,1.0,0.9999,7.7179,0.0,0.5641,0.7925,0.5206,0.1343,-0.0001
39,0.2727,0.2727,1.0,0.9999,7.1538,0.0,0.5897,0.7485,0.4999,0.6338,-0.0001
40,0.2727,0.3636,1.0,0.9999,7.0513,0.0,0.5385,0.594,0.4319,0.4856,-0.0001
41,0.2727,0.4545,1.0,0.9999,6.8974,0.0,0.5641,0.7154,0.7419,0.7542,-0.0001
42,0.2727,0.5455,1.0,1.0,7.4103,0.0,0.4359,0.6196,0.6576,0.7244,-0.0
43,0.2727,0.6364,1.0,1.0,7.6923,0.0,0.4872,0.6413,0.6238,0.4841,-0.0
44,0.2727,0.7273,1.0,0.9999,7.3077,0.0,0.5641,0.6978,0.7139,0.8316,-0.0001
45,0.2727,0.8182,1.0,0.9998,7.7179,0.0,0.7436,0.6311,0.6965,0.8607,-0.0002
46,0.2727,0.9091,0.4103,0.4645,0.5897,0.0,0.4103,0.8054,0.5251,0.6141,0.0542
47,0.2727,1.0,0.2051,0.2551,0.2051,0.0,0.2051,0.5618,0.9877,0.9128,0.05
48,0.3636,0.0,0.1282,0.185,0.1538,0.0,0.1282,0.7009,0.6074,0.1941,0.0568
49,0.3636,0.0909,0.359,0.5801,0.7436,0.0,0.359,0.6582,0.3439,0.011,0.2211
50,0.3636,0.1818,1.0,0.9997,7.9744,0.0,0.6923,0.5793,0.7572,0.8886,-0.0003
51,0.3636,0.2727,1.0,0.9999,7.359,0.0,0.4615,0.7676,0.7507,0.5655,-0.0001
52,0.3636,0.3636,1.0,0.9999,7.2308,0.0,0.5641,0.701,0.7654,0.7501,-0.0001
53,0.3636,0.4545,1.0,0.9999,7.2821,0.0,0.5385,0.6249,0.4474,0.3786,-0.0001
54,0.3636,0.5455,1.0,0.9999,7.7179,0.0,0.5641,0.7627,0.6326,0.5543,-0.0001
55,0.3636,0.6364,1.0,0.9999,7.5128,0.0,0.4615,0.6254,0.4813,0.3902,-0.0001
56,0.3636,0.7273,1.0,0.9999,7.4872,0.0,0.5897,0.7489,0.627,0.5363,-0.0001
57,0.3636,0.8182,1.0,0.9998,7.5385,0.0,0.7949,0.6158,0.7515,0.8627,-0.0002
58,0.3636,0.9091,0.2564,0.3824,0.3077,0.0,0.2564,0.7532,0.7464,0.3874,0.126
59,0.3636,1.0,0.2308,0.2223,0.2308,0.0,0.2308,0.7152,0.4552,0.5459,-0.0084
60,0.4545,0.0,0.0769,0.1826,0.1026,0.0,0.0769,0.5871,0.683,0.4526,0.1057
61,0.4545,0.0909,0.1282,0.2,0.1282,0.0,0.1282,0.6449,0.7668,0.47,0.0717
62,0.4545,0.1818,0.4615,0.6117,0.5897,0.0,0.4615,0.7082,0.3149,0.2722,0.1501
63,0.4545,0.2727,1.0,0.9999,7.359,0.0,0.7179,0.7724,0.6044,0.3438,-0.0001
64,0.4545,0.3636,1.0,1.0,8.0,0.0,0.3846,0.6975,0.5444,0.5321,-0.0
65,0.4545,0.4545,1.0,0.9999,6.9487,0.0,0.5897,0.9218,0.4148,0.2626,-0.0001
66,0.4545,0.5455,1.0,0.9999,8.0256,0.0,0.4872,0.785,0.1981,0.1405,-0.0001
67,0.4545,0.6364,1.0,1.0,7.3846,0.0,0.3846,0.6792,0.6907,0.9674,-0.0
68,0.4545,0.7273,1.0,0.9999,7.7692,0.0,0.4615,0.7839,0.7301,0.4311,-0.0001
69,0.4545,0.8182,1.0,0.9997,6.8974,0.0,0.8718,0.5001,0.5165,0.3801,-0.0003
70,0.4545,0.9091,0.3846,0.4238,0.4615,0.0,0.3846,0.5388,0.7712,0.7826,0.0392
71,0.4545,1.0,0.1538,0.2245,0.2308,0.0,0.1538,0.5232,0.7335,0.5579,0.0707
72,0.5455,0.0,0.0769,0.132,0.0769,0.0,0.0769,0.8256,0.5856,0.0654,0.055
73,0.5455,0.0909,0.1282,0.1901,0.1282,0.0,0.1282,0.7985,0.6559,0.3329,0.0619
74,0.5455,0.1818,0.2051,0.3761,0.2308,0.0,0.2051,0.8865,0.6076,0.3244,0.171
75,0.5455,0.2727,1.0,0.9999,7.8974,0.0,0.4872,0.6621,0.7482,0.6889,-0.0001
76,0.5455,0.3636,1.0,0.9999,7.1795,0.0,0.4872,0.7176,0.5155,0.4272,-0.0001
77,0.5455,0.4545,1.0,0.9999,6.7949,0.0,0.6667,0.7138,0.5682,0.3888,-0.0001
78,0.5455,0.5455,1.0,0.9999,7.4103,0.0,0.3846,0.8028,0.4829,0.4159,-0.0001
79,0.5455,0.6364,1.0,0.9999,8.0256,0.0,0.4103,0.9171,0.5543,0.0836,-0.0001
80,0.5455,0.7273,1.0,0.9999,7.4615,0.0,0.5128,0.6959,0.5356,0.7256,-0.0001
81,0.5455,0.8182,0.9744,0.9993,6.6667,0.0,0.8974,0.7095,0.6082,0.3698,0.0249
82,0.5455,0.9091,0.2821,0.3178,0.3077,0.0,0.2821,0.5492,0.5945,0.2903,0.0358
83,0.5455,1.0,0.1538,0.217,0.1795,0.0,0.1538,0.6857,0.4993,0.3244,0.0631
84,0.6364,0.0,0.1538,0.2101,0.1538,0.0,0.1538,0.6796,0.6869,0.5507,0.0563
85,0.6364,0.0909,0.2564,0.245,0.2821,0.0,0.2564,0.7272,0.6075,0.409,-0.0114
86,0.6364,0.1818,0.0769,0.4049,0.1026,0.0,0.0769,0.6831,0.6475,0.2429,0.3279
87,0.6364,0.2727,1.0,1.0,7.7179,0.0,0.5385,0.5611,0.4197,0.4267,-0.0
88,0.6364,0.3636,1.0,1.0,8.1282,0.0,0.3846,0.7127,0.5249,0.0869,-0.0
89,0.6364,0.4545,1.0,0.9999,7.0256,0.0,0.7692,0.7612,0.6088,0.2547,-0.0001
90,0.6364,0.5455,1.0,1.0,7.4872,0.0,0.5385,0.7762,0.715,0.3341,-0.0
91,0.6364,0.6364,1.0,1.0,7.6923,0.0,0.4103,0.8057,0.6623,0.502,-0.0
92,0.6364,0.7273,1.0,0.9999,7.4359,0.0,0.6154,0.6919,0.7665,0.442,-0.0001
93,0.6364,0.8182,1.0,0.9996,7.1026,0.0,0.7692,0.7414,0.7099,0.6785,-0.0004
94,0.6364,0.9091,0.3077,0.3809,0.359,0.0,0.3077,0.7489,0.5991,0.5709,0.0732
95,0.6364,1.0,0.0513,0.1975,0.0513,0.0,0.0513,0.7899,0.6355,0.4032,0.1463
96,0.7273,0.0,0.0,0.129,0.0,0.0,0.0,0.8038,0.5273,0.0988,0.129
97,0.7273,0.0909,0.2051,0.227,0.2564,0.0,0.2051,0.5685,0.6686,0.3982,0.0219
98,0.7273,0.1818,0.2821,0.4065,0.3077,0.0,0.2821,0.8024,0.4435,0.0,0.1244
99,0.7273,0.2727,1.0,0.9999,7.7436,0.0,0.6154,0.7475,0.6688,0.3852,-0.0001
100,0.7273,0.3636,1.0,1.0,7.7179,0.0,0.5897,0.7932,0.6063,0.3931,-0.0
101,0.7273,0.4545,1.0,0.9999,7.1026,0.0,0.6154,0.7237,0.5894,0.2968,-0.0001
102,0.7273,0.5455,1.0,0.9999,7.5897,0.0,0.5641,0.842,0.5358,0.0,-0.0001
103,0.7273,0.6364,1.0,0.9999,7.5897,0.0,0.6923,0.7643,0.6505,0.5381,-0.0001
104,0.7273,0.7273,1.0,0.9998,7.1282,0.0,0.7692,0.6997,0.5551,0.2606,-0.0002
105,0.7273,0.8182,1.0,0.9991,6.8462,0.0,0.9231,0.7653,0.6171,0.4254,-0.0009
106,0.7273,0.9091,0.2308,0.3076,0.2564,0.0,0.2308,0.8875,0.5126,0.2083,0.0768
107,0.7273,1.0,0.1538,0.2177,0.1538,0.0,0.1538,0.6659,0.8268,0.7138,0.0639
108,0.8182,0.0,0.0769,0.131,0.0769,0.0,0.0769,0.7942,0.4734,0.0,0.054
109,0.8182,0.0909,0.2051,0.2228,0.2308,0.0,0.2051,0.8032,0.7324,0.4431,0.0177
110,0.8182,0.1818,0.1026,0.3221,0.1026,0.0,0.1026,0.8963,0.566,0.0,0.2196
111,0.8182,0.2727,1.0,0.9995,7.5128,0.0,0.8462,0.7359,0.4968,0.4086,-0.0005
112,0.8182,0.3636,1.0,0.9999,7.0513,0.0,0.7692,0.6639,0.4199,0.5634,-0.0001
113,0.8182,0.4545,1.0,0.9997,7.0769,0.0,0.8205,0.7889,0.513,0.2487,-0.0003
114,0.8182,0.5455,1.0,0.9998,7.8974,0.0,0.7436,0.8359,0.6327,0.3583,-0.0002
115,0.8182,0.6364,0.6154,0.7459,1.1282,0.0,0.6154,0.6044,0.4117,0.2912,0.1305
116,0.8182,0.7273,0.359,0.478,0.4615,0.0,0.359,0.6368,0.6415,0.8097,0.119
117,0.8182,0.8182,0.2821,0.3203,0.3077,0.0,0.2821,0.7848,0.5329,0.1931,0.0383
118,0.8182,0.9091,0.1538,0.1841,0.1538,0.0,0.1538,0.7737,0.5326,0.3095,0.0302
119,0.8182,1.0,0.1538,0.184,0.1795,0.0,0.1538,0.8863,0.4037,0.1544,0.0302
120,0.9091,0.0,0.2051,0.1291,0.2051,0.0,0.2051,0.9337,0.5144,0.0,-0.076
121,0.9091,0.0909,0.0256,0.1211,0.0256,0.0,0.0256,0.6244,0.652,0.0,0.0955
122,0.9091,0.1818,0.1282,0.1786,0.1538,0.0,0.1282,0.7764,0.6163,0.2503,0.0504
123,0.9091,0.2727,0.1795,0.2876,0.2308,0.0,0.1795,0.8242,0.6736,0.1371,0.1081
124,0.9091,0.3636,0.2051,0.2891,0.2564,0.0,0.2051,0.734,0.3455,0.0767,0.084
125,0.9091,0.4545,0.2051,0.3593,0.2308,0.0,0.2051,0.8736,0.4804,0.3413,0.1541
126,0.9091,0.5455,0.3846,0.3693,0.4359,0.0,0.3846,0.8837,0.5102,0.0464,-0.0153
127,0.9091,0.6364,0.0769,0.1893,0.0769,0.0,0.0769,0.8614,0.4662,0.121,0.1123
128,0.9091,0.7273,0.0256,0.1483,0.0256,0.0,0.0256,0.9739,0.5312,0.0029,0.1227
129,0.9091,0.8182,0.1538,0.1868,0.2051,0.0,0.1538,0.7111,0.3768,0.0,0.0329
130,0.9091,0.9091,0.1538,0.1625,0.1795,0.0,0.1538,0.5525,0.4708,0.1234,0.0087
131,0.9091,1.0,0.1795,0.2143,0.2051,0.0,0.1795,0.645,0.6835,0.3094,0.0348
132,1.0,0.0,0.1026,0.1428,0.1282,0.0,0.1026,0.7303,0.5982,0.0586,0.0402
133,1.0,0.0909,0.1282,0.1479,0.1282,0.0,0.1282,0.99,0.4848,0.121,0.0197
134,1.0,0.1818,0.1026,0.1627,0.1026,0.0,0.1026,0.8526,0.5075,0.1199,0.0602
135,1.0,0.2727,0.0513,0.1395,0.0513,0.0,0.0513,0.7563,0.4693,0.0066,0.0882
136,1.0,0.3636,0.0769,0.1564,0.0769,0.0,0.0769,0.9452,0.554,0.0,0.0795
137,1.0,0.4545,0.0769,0.2056,0.0769,0.0,0.0769,0.7919,0.6641,0.2476,0.1287
138,1.0,0.5455,0.1282,0.1809,0.1282,0.0,0.1282,0.6698,0.6733,0.2309,0.0527
139,1.0,0.6364,0.0769,0.1645,0.0769,0.0,0.0769,0.7923,0.5149,0.306,0.0876
140,1.0,0.7273,0.0769,0.1624,0.0769,0.0,0.0769,0.7423,0.7609,0.2164,0.0855
141,1.0,0.8182,0.1538,0.2088,0.1538,0.0,0.1538,0.6959,0.5771,0.4397,0.055
142,1.0,0.9091,0.1795,0.2209,0.2051,0.0,0.1795,0.7164,0.4845,0.4037,0.0414
143,1.0,1.0,0.1795,0.1452,0.2051,0.0,0.1795,0.7182,0.5057,0.0505,-0.0343
